UNITID,Level of Student,Grand Total,Grand Total Men,Grand Total Women
172644,1,31759,13618,18141
172644,2,20384,8829,11555
172644,4,11375,4789,6586
172671,1,1450,541,909
172671,2,1450,541,909
172680,1,181,4,177
172680,2,181,4,177
172699,1,25010,12155,12855
172699,2,19216,9853,9363
172699,4,5794,2302,3492
172705,1,397,247,150
172705,4,397,247,150
172802,1,90,2,88
172802,2,90,2,88
172866,1,145,125,20
172866,2,145,125,20
172918,1,3811,1890,1921
172918,2,3811,1890,1921
172927,1,63,27,36
172927,2,63,27,36
172954,1,2503,1073,1430
172954,2,2503,1073,1430
172963,1,11550,4446,7104
172963,2,11550,4446,7104
173045,1,3920,1595,2325
173045,2,2594,1180,1414
173045,4,1326,415,911
173063,1,4609,2030,2579
173063,2,4609,2030,2579
173115,1,1890,512,1378
173115,2,1890,512,1378
173124,1,6354,2636,3718
173124,2,5752,2431,3321
173124,4,602,205,397
173142,1,821,382,439
173142,2,821,382,439
173160,1,4639,1738,2901
173160,2,2941,1097,1844
173160,4,1698,641,1057
173203,1,5331,2244,3087
173203,2,5331,2244,3087
173258,1,2129,1053,1076
173258,2,2129,1053,1076
173300,1,2188,892,1296
173300,2,2143,887,1256
173300,4,45,5,40
173328,1,6586,2373,4213
173328,2,3877,1548,2329
173328,4,2709,825,1884
173416,1,3490,1998,1492
173416,2,3490,1998,1492
173452,1,1509,712,797
173452,2,1374,614,760
173452,4,135,98,37
173461,1,7645,3549,4096
173461,2,7645,3549,4096
173470,1,40,0,40
173470,2,40,0,40
173559,1,7871,3153,4718
173559,2,7871,3153,4718
173638,1,4782,2167,2615
173638,2,4782,2167,2615
173647,1,2254,938,1316
173647,2,2254,938,1316
173665,1,4802,1548,3254
173665,2,2248,851,1397
173665,4,2554,697,1857
173683,1,244,71,173
173683,4,244,71,173
173708,1,7008,4338,2670
173708,2,7008,4338,2670
173735,1,1468,638,830
173735,2,1468,638,830
173744,1,639,41,598
173744,2,639,41,598
173799,1,6369,2495,3874
173799,2,6369,2495,3874
173805,1,1681,744,937
173805,2,1681,744,937
173896,1,574,241,333
173896,4,574,241,333
173902,1,2232,899,1333
173902,2,2232,899,1333
173911,1,4475,2335,2140
173911,2,4475,2335,2140
173920,1,17357,7544,9813
173920,2,14800,6768,8032
173920,4,2557,776,1781
173957,1,1249,488,761
173957,2,337,84,253
173957,4,912,404,508
173993,1,1744,907,837
173993,2,1744,907,837
174020,1,10575,4404,6171
174020,2,9462,3936,5526
174020,4,1113,468,645
174066,1,61787,27934,33853
174066,2,43828,19897,23931
174066,4,17959,8037,9922
174075,1,3312,1474,1838
174075,2,3312,1474,1838
174118,1,184,72,112
174118,2,184,72,112
174127,1,909,277,632
174127,2,786,245,541
174127,4,123,32,91
174136,1,10032,4341,5691
174136,2,10032,4341,5691
174154,1,717,83,634
174154,2,714,83,631
174154,4,3,0,3
174190,1,257,7,250
174190,2,257,7,250
174233,1,11868,6124,5744
174233,2,10727,5601,5126
174233,4,1141,523,618
174251,1,1658,711,947
174251,2,1658,711,947
174321,1,145,1,144
174321,2,145,1,144
174358,1,7534,2786,4748
174358,2,5989,2332,3657
174358,4,1545,454,1091
174376,1,9400,3841,5559
174376,2,9400,3841,5559
174428,1,14765,6367,8398
174428,2,14765,6367,8398
174437,1,1186,540,646
174437,2,1133,505,628
174437,4,53,35,18
174473,1,4668,1892,2776
174473,2,4668,1892,2776
174491,1,4149,1591,2558
174491,2,3920,1462,2458
174491,4,229,129,100
174507,1,1173,515,658
174507,2,398,132,266
174507,4,775,383,392
174525,1,116,65,51
174525,2,116,65,51
174570,1,2617,1147,1470
174570,2,2617,1147,1470
174604,1,446,164,282
174604,2,446,164,282
174738,1,6984,2665,4319
174738,2,6984,2665,4319
174747,1,1813,0,1813
174747,2,1813,0,1813
174756,1,5608,2464,3144
174756,2,5608,2464,3144
174783,1,16326,7386,8940
174783,2,13967,6414,7553
174783,4,2359,972,1387
174792,1,1856,1775,81
174792,2,1693,1693,0
174792,4,163,82,81
174817,1,7590,2577,5013
174817,2,1665,721,944
174817,4,5925,1856,4069
174844,1,3119,1337,1782
174844,2,3119,1337,1782
174862,1,1760,804,956
174862,2,1296,589,707
174862,4,464,215,249
174899,1,5058,1356,3702
174899,2,2959,829,2130
174899,4,2099,527,1572
174914,1,11201,5679,5522
174914,2,6798,3617,3181
174914,4,4403,2062,2341
174978,1,223,6,217
174978,2,223,6,217
175005,1,5758,393,5365
175005,2,3973,201,3772
175005,4,1785,192,1593
175014,1,7519,1206,6313
175014,2,7474,1199,6275
175014,4,45,7,38
175041,1,9993,4374,5619
175041,2,9993,4374,5619
175078,1,8718,3507,5211
175078,2,8077,3321,4756
175078,4,641,186,455
175120,1,873,531,342
175120,2,873,531,342
175139,1,122,57,65
175139,4,122,57,65
175157,1,900,525,375
175157,2,900,525,375
175227,1,1510,1256,254
175227,2,1510,1256,254
175236,1,4492,1983,2509
175236,2,4492,1983,2509
175263,1,2644,1180,1464
175263,2,2644,1180,1464
175272,1,8856,3124,5732
175272,2,8137,2954,5183
175272,4,719,170,549
175281,1,1214,584,630
175281,4,1214,584,630
175315,1,12468,5454,7014
175315,2,12468,5454,7014
175342,1,4072,1418,2654
175342,2,3508,1253,2255
175342,4,564,165,399
175421,1,5647,1710,3937
175421,2,2843,970,1873
175421,4,2804,740,2064
175430,1,735,332,403
175430,2,719,330,389
175430,4,16,2,14
175494,1,162,43,119
175494,2,162,43,119
175519,1,2529,1034,1495
175519,2,2529,1034,1495
175528,1,453,29,424
175528,2,453,29,424
175573,1,3949,1453,2496
175573,2,3949,1453,2496
175607,1,30,3,27
175607,2,30,3,27
175616,1,5768,2112,3656
175616,2,3756,1542,2214
175616,4,2012,570,1442
175643,1,3192,1225,1967
175643,2,3192,1225,1967
175652,1,6066,2626,3440
175652,2,6066,2626,3440
175698,1,36,23,13
175698,2,36,23,13
175722,1,55,2,53
175722,2,55,2,53
175786,1,16579,6540,10039
175786,2,16579,6540,10039
175810,1,8352,2813,5539
175810,2,8352,2813,5539
175829,1,6750,2681,4069
175829,2,6750,2681,4069
175856,1,8606,2864,5742
175856,2,6260,2279,3981
175856,4,2346,585,1761
175883,1,6085,2336,3749
175883,2,6085,2336,3749
175935,1,4602,1386,3216
175935,2,4602,1386,3216
175980,1,986,484,502
175980,2,890,417,473
175980,4,96,67,29
176008,1,3631,1358,2273
176008,2,3631,1358,2273
176017,1,25133,10867,14266
176017,2,20114,8771,11343
176017,4,5019,2096,2923
176035,1,3223,636,2587
176035,2,2959,600,2359
176035,4,264,36,228
176044,1,2663,1055,1608
176044,2,2256,916,1340
176044,4,407,139,268
176053,1,6068,2163,3905
176053,2,3640,1346,2294
176053,4,2428,817,1611
176062,1,86,1,85
176062,2,86,1,85
176071,1,12236,4855,7381
176071,2,12236,4855,7381
176080,1,24251,12190,12061
176080,2,19952,10084,9868
176080,4,4299,2106,2193
176169,1,4337,1698,2639
176169,2,4337,1698,2639
176178,1,10746,4101,6645
176178,2,10746,4101,6645
176239,1,6405,2416,3989
176239,2,6405,2416,3989
176318,1,919,388,531
176318,2,919,388,531
176336,1,85,60,25
176336,2,85,60,25
176354,1,2553,932,1621
176354,2,2553,932,1621
176372,1,16921,6231,10690
176372,2,13747,5139,8608
176372,4,3174,1092,2082
176390,1,243,7,236
176390,2,243,7,236
176406,1,805,265,540
176406,2,792,265,527
176406,4,13,0,13
176433,1,30,0,30
176433,2,30,0,30
176451,1,153,103,50
176451,4,153,103,50
176479,1,6551,2335,4216
176479,2,4090,1613,2477
176479,4,2461,722,1739
176600,1,169,86,83
176600,4,169,86,83
176628,1,2057,725,1332
176628,2,1494,573,921
176628,4,563,152,411
176664,1,267,139,128
176664,2,248,122,126
176664,4,19,17,2
176716,1,242,7,235
176716,2,242,7,235
176770,1,1179,146,1033
176770,2,934,115,819
176770,4,245,31,214
176789,1,483,239,244
176789,2,388,176,212
176789,4,95,63,32
176798,1,337,97,240
176798,2,337,97,240
176910,1,241,132,109
176910,2,241,132,109
176947,1,1193,562,631
176947,2,1193,562,631
176965,1,15993,6739,9254
176965,2,12375,5503,6872
176965,4,3618,1236,2382
176983,1,88,71,17
176983,2,88,71,17
177038,1,770,405,365
177038,2,176,74,102
177038,4,594,331,263
177065,1,17390,7751,9639
177065,2,16514,7439,9075
177065,4,876,312,564
177083,1,66,66,0
177083,2,66,66,0
177092,1,584,561,23
177092,4,584,561,23
177117,1,277,0,277
177117,2,277,0,277
177126,1,679,430,249
177126,4,679,430,249
177135,1,6021,2447,3574
177135,2,6021,2447,3574
177144,1,1168,583,585
177144,2,1100,559,541
177144,4,68,24,44
177214,1,1964,779,1185
177214,2,1577,677,900
177214,4,387,102,285
177250,1,3570,1399,2171
177250,2,3570,1399,2171
177278,1,145,66,79
177278,4,145,66,79
177287,1,207,4,203
177287,2,207,4,203
177302,1,447,189,258
177302,2,447,189,258
177339,1,2308,1068,1240
177339,2,1735,773,962
177339,4,573,295,278
177418,1,1538,525,1013
177418,2,1043,402,641
177418,4,495,123,372
177436,1,68,8,60
177436,2,68,8,60
177472,1,16751,6705,10046
177472,2,16751,6705,10046
177542,1,975,381,594
177542,2,870,353,517
177542,4,105,28,77
177551,1,1984,659,1325
177551,2,1984,659,1325
177588,1,42,2,40
177588,2,42,2,40
177603,1,68,4,64
177603,2,68,4,64
177676,1,5539,2078,3461
177676,2,5539,2078,3461
177685,1,167,7,160
177685,2,167,7,160
177719,1,1035,121,914
177719,2,935,98,837
177719,4,100,23,77
177746,1,689,203,486
177746,2,689,203,486
177816,1,146,146,0
177816,2,55,55,0
177816,4,91,91,0
177834,1,4307,1754,2553
177834,4,4307,1754,2553
177870,1,16,15,1
177870,2,16,15,1
177931,1,59,5,54
177931,2,59,5,54
177940,1,3114,1346,1768
177940,2,2940,1267,1673
177940,4,174,79,95
177968,1,12862,4830,8032
177968,2,7374,3394,3980
177968,4,5488,1436,4052
177977,1,1659,1303,356
177977,2,1659,1303,356
177986,1,2027,875,1152
177986,2,309,115,194
177986,4,1718,760,958
177995,1,22969,9374,13595
177995,2,22969,9374,13595
178004,1,218,31,187
178004,2,218,31,187
178059,1,12138,3231,8907
178059,2,4649,1534,3115
178059,4,7489,1697,5792
178077,1,94,3,91
178077,2,94,3,91
178110,1,91,6,85
178110,2,91,6,85
178183,1,336,27,309
178183,2,336,27,309
178208,1,3917,3292,625
178208,2,1034,805,229
178208,4,2883,2487,396
178217,1,3606,1362,2244
178217,2,3606,1362,2244
178244,1,5888,2127,3761
178244,2,4697,1811,2886
178244,4,1191,316,875
178341,1,6699,2614,4085
178341,2,6517,2566,3951
178341,4,182,48,134
178369,1,2029,1073,956
178369,2,2008,1071,937
178369,4,21,2,19
178387,1,6163,2462,3701
178387,2,5884,2349,3535
178387,4,279,113,166
178396,1,33333,15285,18048
178396,2,24572,11725,12847
178396,4,8761,3560,5201
178402,1,19166,8192,10974
178402,2,13235,5654,7581
178402,4,5931,2538,3393
178411,1,9265,7041,2224
178411,2,7040,5341,1699
178411,4,2225,1700,525
178420,1,20378,8400,11978
178420,2,16579,7181,9398
178420,4,3799,1219,2580
178448,1,7450,2909,4541
178448,2,7450,2909,4541
178466,1,91,9,82
178466,2,91,9,82
178518,1,249,159,90
178518,4,249,159,90
178527,1,52,1,51
178527,2,52,1,51
178615,1,6344,2533,3811
178615,2,5831,2401,3430
178615,4,513,132,381
178624,1,8027,3378,4649
178624,2,6165,2643,3522
178624,4,1862,735,1127
178679,1,648,333,315
178679,2,648,333,315
178697,1,1845,812,1033
178697,2,1845,812,1033
178721,1,16172,8951,7221
178721,2,13780,7938,5842
178721,4,2392,1013,1379
178767,1,160,25,135
178767,2,160,25,135
178828,1,23,5,18
178828,2,23,5,18
178891,1,2097,1937,160
178891,2,2097,1937,160
178989,1,647,99,548
178989,2,462,65,397
178989,4,185,34,151
179043,1,3580,1444,2136
179043,2,2459,953,1506
179043,4,1121,491,630
179052,1,109,45,64
179052,2,109,45,64
179159,1,16248,6438,9810
179159,2,11095,4406,6689
179159,4,5153,2032,3121
179195,1,65,3,62
179195,2,65,3,62
179229,1,40,12,28
179229,2,40,12,28
179256,1,113,61,52
179256,2,113,61,52
179265,1,1212,471,741
179265,2,393,147,246
179265,4,819,324,495
179308,1,27771,10891,16880
179308,2,27771,10891,16880
179317,1,100,44,56
179317,4,100,44,56
179326,1,3803,1372,2431
179326,2,2907,1050,1857
179326,4,896,322,574
179344,1,2388,848,1540
179344,2,2388,848,1540
179450,1,934,101,833
179450,2,751,71,680
179450,4,183,30,153
179511,1,443,17,426
179511,2,443,17,426
179539,1,5943,2230,3713
179539,2,5943,2230,3713
179548,1,784,44,740
179548,2,575,3,572
179548,4,209,41,168
179557,1,12645,5087,7558
179557,2,11087,4593,6494
179557,4,1558,494,1064
179566,1,27138,11191,15947
179566,2,22530,9437,13093
179566,4,4608,1754,2854
179645,1,4025,1284,2741
179645,2,4025,1284,2741
179715,1,2623,748,1875
179715,2,2623,748,1875
179812,1,1237,747,490
179812,4,1237,747,490
179867,1,17794,8238,9556
179867,2,8774,3981,4793
179867,4,9020,4257,4763
179894,1,14581,6402,8179
179894,2,3522,1547,1975
179894,4,11059,4855,6204
179946,1,739,413,326
179946,2,739,413,326
179955,1,868,384,484
179955,2,863,384,479
179955,4,5,0,5
179964,1,2888,1007,1881
179964,2,1057,298,759
179964,4,1831,709,1122
179991,1,44,1,43
179991,2,44,1,43
180054,1,496,158,338
180054,2,496,158,338
180063,1,45,0,45
180063,2,45,0,45
180081,1,1000,498,502
180081,2,1000,498,502
180090,1,131,4,127
180090,2,131,4,127
180106,1,1390,570,820
180106,2,1371,563,808
180106,4,19,7,12
180151,1,839,388,451
180151,2,839,388,451
180160,1,416,166,250
180160,2,416,166,250
180179,1,5749,2009,3740
180179,2,5277,1912,3365
180179,4,472,97,375
180197,1,3615,1568,2047
180197,2,3615,1568,2047
180203,1,265,117,148
180203,2,265,117,148
180212,1,523,208,315
180212,2,523,208,315
180249,1,2235,653,1582
180249,2,2235,653,1582
180258,1,1365,426,939
180258,2,1084,353,731
180258,4,281,73,208
180276,1,1896,833,1063
180276,2,1896,833,1063
180328,1,495,188,307
180328,2,495,188,307
180373,1,942,289,653
180373,2,942,289,653
180416,1,2090,1324,766
180416,2,1746,1111,635
180416,4,344,213,131
180461,1,18898,9929,8969
180461,2,16419,8812,7607
180461,4,2479,1117,1362
180489,1,13140,5596,7544
180489,2,9883,4415,5468
180489,4,3257,1181,2076
180522,1,1436,739,697
180522,2,1368,719,649
180522,4,68,20,48
180595,1,1059,528,531
180595,2,929,478,451
180595,4,130,50,80
180647,1,961,338,623
180647,2,961,338,623
180692,1,1791,630,1161
180692,2,1791,630,1161
180771,1,19,3,16
180771,2,19,3,16
180814,1,12588,5624,6964
180814,2,8674,3974,4700
180814,4,3914,1650,2264
180832,1,1424,214,1210
180832,2,747,112,635
180832,4,677,102,575
180878,1,1029,125,904
180878,2,882,95,787
180878,4,147,30,117
180902,1,9241,3627,5614
180902,2,9241,3627,5614
180948,1,3152,1243,1909
180948,2,2365,950,1415
180948,4,787,293,494
180957,1,158,81,77
180957,2,158,81,77
180984,1,2888,1160,1728
180984,2,2114,954,1160
180984,4,774,206,568
181002,1,10549,4512,6037
181002,2,4885,2068,2817
181002,4,5664,2444,3220
181020,1,3416,1241,2175
181020,2,1612,783,829
181020,4,1804,458,1346
181127,1,1133,571,562
181127,2,1074,537,537
181127,4,59,34,25
181145,1,22,5,17
181145,2,22,5,17
181190,1,220,13,207
181190,2,220,13,207
181215,1,7859,2986,4873
181215,2,5148,2129,3019
181215,4,2711,857,1854
181297,1,1429,160,1269
181297,2,980,106,874
181297,4,449,54,395
181303,1,24321,11026,13295
181303,2,24321,11026,13295
181312,1,3095,1168,1927
181312,2,3095,1168,1927
181330,1,2060,971,1089
181330,2,1844,877,967
181330,4,216,94,122
181376,1,145,82,63
181376,2,145,82,63
181394,1,18182,8151,10031
181394,2,14201,6688,7513
181394,4,3981,1463,2518
181419,1,338,109,229
181419,2,338,109,229
181428,1,4246,1473,2773
181428,2,1046,138,908
181428,4,3200,1335,1865
181446,1,4068,1553,2515
181446,2,3755,1464,2291
181446,4,313,89,224
181464,1,28686,14862,13824
181464,2,22433,11894,10539
181464,4,6253,2968,3285
181491,1,6294,3139,3155
181491,2,6294,3139,3155
181534,1,2920,1119,1801
181534,2,2427,983,1444
181534,4,493,136,357
181543,1,31,23,8
181543,2,31,23,8
181604,1,1395,36,1359
181604,2,1019,11,1008
181604,4,376,25,351
181640,1,14457,6642,7815
181640,2,14457,6642,7815
181738,1,981,385,596
181738,2,887,363,524
181738,4,94,22,72
181765,1,428,181,247
181765,2,428,181,247
181783,1,4523,1851,2672
181783,2,3426,1475,1951
181783,4,1097,376,721
181817,1,2312,880,1432
181817,2,2312,880,1432
181853,1,468,238,230
181853,2,420,224,196
181853,4,48,14,34
181880,1,359,16,343
181880,2,359,16,343
181941,1,588,366,222
181941,2,588,366,222
182005,1,50491,22672,27819
182005,2,50491,22672,27819
182111,1,797,429,368
182111,2,797,429,368
182148,1,169,24,145
182148,2,169,24,145
182281,1,35512,15146,20366
182281,2,29098,12679,16419
182281,4,6414,2467,3947
182290,1,24246,11138,13108
182290,2,20010,9436,10574
182290,4,4236,1702,2534
182306,1,4862,1664,3198
182306,2,4862,1664,3198
182458,1,1199,447,752
182458,2,449,233,216
182458,4,750,214,536
182500,1,15740,7382,8358
182500,2,15740,7382,8358
182564,1,4438,1914,2524
182564,2,4438,1914,2524
182634,1,864,267,597
182634,2,864,267,597
182652,1,49,3,46
182652,2,49,3,46
182670,1,7114,3648,3466
182670,2,4822,2440,2382
182670,4,2292,1208,1084
182704,1,107,3,104
182704,2,107,3,104
182722,1,230,29,201
182722,2,230,29,201
182795,1,2522,1084,1438
182795,2,1817,818,999
182795,4,705,266,439
182829,1,336,166,170
182829,4,336,166,170
182892,1,60,0,60
182892,2,60,0,60
182917,1,84,39,45
182917,2,84,39,45
182953,1,166,9,157
182953,2,166,9,157
182980,1,4545,2268,2277
182980,2,2561,1013,1548
182980,4,1984,1255,729
182999,1,41,0,41
182999,2,41,0,41
183026,1,153883,54747,99136
183026,2,119733,43103,76630
183026,4,34150,11644,22506
183035,1,28,5,23
183035,2,28,5,23
183044,1,16673,7430,9243
183044,2,13538,6197,7341
183044,4,3135,1233,1902
183062,1,3896,1769,2127
183062,2,3757,1721,2036
183062,4,139,48,91
183071,1,1452,713,739
183071,2,1121,545,576
183071,4,331,168,163
183080,1,5868,2680,3188
183080,2,4514,2284,2230
183080,4,1354,396,958
183099,1,5983,2644,3339
183099,2,5983,2644,3339
183105,1,1396,497,899
183105,2,1396,497,899
183114,1,1827,638,1189
183114,2,1827,638,1189
183123,1,2002,1039,963
183123,2,2002,1039,963
183132,1,5851,2650,3201
183132,2,5851,2650,3201
183141,1,3499,1601,1898
183141,2,3499,1601,1898
183150,1,3553,1558,1995
183150,2,3553,1558,1995
183202,1,75,2,73
183202,2,75,2,73
183211,1,2791,589,2202
183211,2,1667,371,1296
183211,4,1124,218,906
183239,1,2034,802,1232
183239,2,2034,802,1232
183248,1,219,34,185
183248,2,219,34,185
183257,1,3082,951,2131
183257,2,2624,812,1812
183257,4,458,139,319
183275,1,90,38,52
183275,2,90,38,52
183488,1,670,80,590
183488,2,670,80,590
183600,1,56,9,47
183600,2,56,9,47
183655,1,7744,3062,4682
183655,2,7744,3062,4682
183725,1,797,318,479
183725,2,797,318,479
183743,1,18482,9028,9454
183743,2,18482,9028,9454
183789,1,4841,1303,3538
183789,2,4611,1233,3378
183789,4,230,70,160
183804,1,7742,7742,0
183804,2,3169,3169,0
183804,4,4573,4573,0
183822,1,1815,674,1141
183822,2,1785,670,1115
183822,4,30,4,26
183859,1,17100,8057,9043
183859,2,17100,8057,9043
183877,1,14518,6075,8443
183877,2,14518,6075,8443
183910,1,2466,760,1706
183910,2,1790,612,1178
183910,4,676,148,528
183938,1,16520,6624,9896
183938,2,16520,6624,9896
183974,1,2180,735,1445
183974,2,1443,525,918
183974,4,737,210,527
183983,1,147,135,12
183983,2,147,135,12
184047,1,37,7,30
184047,2,37,7,30
184056,1,721,181,540
184056,2,721,181,540
184092,1,1033,82,951
184092,2,1033,82,951
184180,1,10805,5905,4900
184180,2,10805,5905,4900
184205,1,4149,1429,2720
184205,2,4149,1429,2720
184278,1,48,47,1
184278,2,48,47,1
184348,1,2564,1119,1445
184348,2,1848,801,1047
184348,4,716,318,398
184427,1,491,467,24
184427,2,491,467,24
184481,1,10496,4460,6036
184481,2,10496,4460,6036
184506,1,176,15,161
184506,2,176,15,161
184603,1,9424,3840,5584
184603,2,6824,2944,3880
184603,4,2600,896,1704
184612,1,2412,651,1761
184612,2,1926,541,1385
184612,4,486,110,376
184694,1,3730,1542,2188
184694,2,2835,1217,1618
184694,4,895,325,570
184746,1,225,214,11
184746,2,225,214,11
184773,1,2850,776,2074
184773,2,1983,594,1389
184773,4,867,182,685
184782,1,23011,11787,11224
184782,2,18659,10088,8571
184782,4,4352,1699,2653
184791,1,10275,4374,5901
184791,2,10275,4374,5901
184816,1,119,10,109
184816,2,119,10,109
184870,1,364,51,313
184870,2,364,51,313
184959,1,1090,205,885
184959,2,1090,205,885
184968,1,189,29,160
184968,2,189,29,160
184995,1,11749,4755,6994
184995,2,11749,4755,6994
185129,1,9565,3631,5934
185129,2,7218,2963,4255
185129,4,2347,668,1679
185174,1,86,66,20
185174,2,86,66,20
185262,1,16738,6167,10571
185262,2,13797,5519,8278
185262,4,2941,648,2293
185332,1,495,50,445
185332,2,495,50,445
185396,1,1973,1898,75
185396,2,1973,1898,75
185466,1,453,5,448
185466,2,453,5,448
185509,1,10751,5065,5686
185509,2,10751,5065,5686
185536,1,16328,7709,8619
185536,2,16328,7709,8619
185572,1,6704,2508,4196
185572,2,4847,2072,2775
185572,4,1857,436,1421
185590,1,24235,9019,15216
185590,2,19009,7515,11494
185590,4,5226,1504,3722
185679,1,799,134,665
185679,2,799,134,665
185721,1,766,270,496
185721,2,766,270,496
185758,1,148,67,81
185758,4,148,67,81
185767,1,502,82,420
185767,2,502,82,420
185828,1,13236,9623,3613
185828,2,9769,7191,2578
185828,4,3467,2432,1035
185873,1,14516,6504,8012
185873,2,14516,6504,8012
185970,1,226,15,211
185970,2,226,15,211
186016,1,748,48,700
186016,2,748,48,700
186034,1,10499,4088,6411
186034,2,10499,4088,6411
186052,1,909,788,121
186052,2,909,788,121
186122,1,446,253,193
186122,4,446,253,193
186131,1,8720,4774,3946
186131,2,5535,2849,2686
186131,4,3185,1925,1260
186186,1,361,361,0
186186,2,352,352,0
186186,4,9,9,0
186201,1,6982,2991,3991
186201,2,6256,2813,3443
186201,4,726,178,548
186274,1,340,56,284
186274,2,340,56,284
186283,1,5422,2202,3220
186283,2,4194,1777,2417
186283,4,1228,425,803
186371,1,8154,3292,4862
186371,2,6528,2534,3994
186371,4,1626,758,868
186380,1,57162,26118,31044
186380,2,40836,20033,20803
186380,4,16326,6085,10241
186399,1,15897,7452,8445
186399,2,10928,4848,6080
186399,4,4969,2604,2365
186405,1,18,3,15
186405,2,18,3,15
186423,1,87,13,74
186423,2,87,13,74
186432,1,3998,1442,2556
186432,2,2906,1055,1851
186432,4,1092,387,705
186469,1,1567,500,1067
186469,2,1567,500,1067
186584,1,11539,5087,6452
186584,2,6397,2973,3424
186584,4,5142,2114,3028
186593,1,203,37,166
186593,2,203,37,166
186618,1,1345,292,1053
186618,2,874,205,669
186618,4,471,87,384
186645,1,11138,5605,5533
186645,2,11138,5605,5533
186867,1,7990,5725,2265
186867,2,3462,2453,1009
186867,4,4528,3272,1256
186876,1,11457,4577,6880
186876,2,10192,4246,5946
186876,4,1265,331,934
186900,1,90,90,0
186900,2,90,90,0
187000,1,383,369,14
187000,2,383,369,14
187046,1,15275,8853,6422
187046,2,14338,8507,5831
187046,4,937,346,591
187134,1,8825,3605,5220
187134,2,7418,3203,4215
187134,4,1407,402,1005
187198,1,13018,4939,8079
187198,2,13018,4939,8079
187444,1,12113,5093,7020
187444,2,10178,4561,5617
187444,4,1935,532,1403
187505,1,1297,154,1143
187505,2,1297,154,1143
187532,1,34540,14432,20108
187532,2,34540,14432,20108
187596,1,2369,988,1381
187596,2,2360,987,1373
187596,4,9,1,8
187620,1,10521,4511,6010
187620,2,10521,4511,6010
187639,1,4928,1471,3457
187639,2,4928,1471,3457
187648,1,7520,2976,4544
187648,2,5726,2509,3217
187648,4,1794,467,1327
187666,1,3269,1472,1797
187666,2,3269,1472,1797
187745,1,873,365,508
187745,2,827,348,479
187745,4,46,17,29
